City,PM2.5
"Clearlake, CA",4.9
"Taos, NM",4.9
"Torrington, CT",4.9
"Bangor, ME",4.8
"Laconia, NH",4.8
"Anchorage, AK",4.7
"Juneau, AK",4.6
"Scottsbluff, NE",4.6
"Bozeman, MT",4.1
"Kahului-Wailuku-Lahaina, HI",4
"Manchester-Nashua, NH",3.9
"Casper, WY",3.7
"Pierre, SD",3.6
"Urban Honolulu, HI",3.566666667
"Jackson, WY-ID",3.55
"Hilo, HI",3.44
"Riverton, WY",2.8
